Date,Population,ConfirmedCases,Fatalities,Day,Week
2020-03-23,335436577,9552,175,12,2
2020-03-24,335436577,10194,191,13,2
2020-03-25,335436577,11473,297,14,2
2020-03-26,335436577,16436,359,15,3
2020-03-27,335436577,17859,464,16,3
2020-03-28,335436577,19112,631,17,3
2020-03-29,335436577,18146,592,18,3
2020-03-30,335436577,19949,625,19,3
2020-03-31,335436577,26428,841,20,3
2020-04-01,335436577,23822,1329,21,3
2020-04-02,335436577,30027,1431,22,4
2020-04-03,335436577,31595,1333,23,4
2020-04-04,335436577,34346,1447,24,4
2020-04-05,335436577,27605,1471,25,4
2020-04-06,335436577,29273,1649,26,4
2020-04-07,335436577,31741,2426,27,4
2020-04-08,335436577,31713,2058,28,4
2020-04-09,335436577,34793,1994,29,5
2020-04-10,335436577,33613,2009,30,5
2020-04-11,335436577,29195,2154,31,5
2020-04-12,335436577,28188,1723,32,5
2020-04-13,335436577,25081,1747,33,5
2020-04-14,335436577,26119,2317,34,5
2020-04-15,335436577,30247,2586,35,5
2020-04-16,335436577,31343,2083,36,6
2020-04-17,335436577,31898,1976,37,6
2020-04-18,335436577,27945,1843,38,6
2020-04-19,335436577,26205,1791,39,6
2020-04-20,335436577,25695,1980,40,6
2020-04-21,335436577,23917,2154,41,6
2020-04-22,335436577,30094,2468,42,6
2020-04-23,335436577,34078,2074,43,7
2020-04-24,335436577,36407,1541,44,7
2020-04-25,335436577,32276,2813,45,7
2020-04-26,335436577,27194,960,46,7
2020-04-27,335436577,22328,1525,47,7
2020-04-28,335436577,24625,2113,48,7
2020-04-29,335436577,27429,2613,49,7
2020-04-30,335436577,29742,1952,50,8
2020-05-01,335436577,33458,2004,51,8
2020-05-02,335436577,28456,1437,52,8
2020-05-03,335436577,24835,1261,53,8
2020-05-04,335436577,22470,1159,54,8
2020-05-05,335436577,23932,2143,55,8
2020-05-06,335436577,25165,2264,56,8
2020-05-07,335436577,27150,2159,57,9
2020-05-08,335436577,26590,1493,58,9
2020-05-09,335436577,25519,1567,59,9
2020-05-10,335436577,18929,733,60,9
2020-05-11,335436577,20054,1123,61,9
2020-05-12,335436577,21121,1652,62,9
2020-05-13,335436577,20917,1729,63,9
2020-05-14,335436577,26811,1815,64,10
2020-05-15,335436577,24679,1612,65,10
2020-05-16,335436577,24184,1183,66,10
2020-05-17,335436577,18383,806,67,10
2020-05-18,335436577,20306,708,68,10
2020-05-19,335436577,20143,1539,69,10
2020-05-20,335436577,23511,1552,70,10
2020-05-21,335436577,24877,1279,71,11
2020-05-22,335436577,23475,1196,72,11
2020-05-23,335436577,21247,1091,73,11
2020-05-24,335436577,20181,658,74,11
2020-05-25,335436577,19333,522,75,11
2020-05-26,335436577,18901,658,76,11
2020-05-27,335436577,17949,1442,77,11
2020-05-28,335436577,23007,1156,78,12
2020-05-29,335436577,23804,1245,79,12
2020-05-30,335436577,23397,932,80,12
2020-05-31,335436577,19192,595,81,12
2020-06-01,335436577,20239,754,82,12
2020-06-02,335436577,20289,1010,83,12
2020-06-03,335436577,19697,971,84,12
2020-06-04,335436577,20418,1050,85,13
2020-06-05,335436577,29339,1158,86,13
2020-06-06,335436577,22461,713,87,13
2020-06-07,335436577,17585,449,88,13
2020-06-08,335436577,18373,456,89,13
2020-06-09,335436577,17743,969,90,13
2020-06-10,335436577,20830,900,91,13
